X,CH1,
Second,Volt,
3.59596e-01,2.00e-01,
3.59600e-01,2.00e-01,
3.59604e-01,2.00e-01,
3.59608e-01,2.00e-01,
3.59612e-01,2.00e-01,
3.59616e-01,2.00e-01,
3.59620e-01,2.00e-01,
3.59624e-01,2.00e-01,
3.59628e-01,2.00e-01,
3.59632e-01,2.00e-01,
3.59636e-01,2.00e-01,
3.59640e-01,2.00e-01,
3.59644e-01,2.00e-01,
3.59648e-01,2.00e-01,
3.59652e-01,2.00e-01,
3.59656e-01,2.00e-01,
3.59660e-01,2.00e-01,
3.59664e-01,2.00e-01,
3.59668e-01,2.00e-01,
3.59672e-01,2.00e-01,
3.59676e-01,2.00e-01,
3.59680e-01,2.00e-01,
3.59684e-01,2.00e-01,
3.59688e-01,2.00e-01,
3.59692e-01,2.00e-01,
3.59696e-01,2.00e-01,
3.59700e-01,2.00e-01,
3.59704e-01,2.00e-01,
3.59708e-01,2.00e-01,
3.59712e-01,2.00e-01,
3.59716e-01,2.00e-01,
3.59720e-01,2.00e-01,
3.59724e-01,2.00e-01,
3.59728e-01,2.00e-01,
3.59732e-01,2.00e-01,
3.59736e-01,2.00e-01,
3.59740e-01,2.00e-01,
3.59744e-01,2.00e-01,
3.59748e-01,2.00e-01,
3.59752e-01,2.00e-01,
3.59756e-01,2.00e-01,
3.59760e-01,2.00e-01,
3.59764e-01,2.00e-01,
3.59768e-01,2.00e-01,
3.59772e-01,2.00e-01,
3.59776e-01,2.00e-01,
3.59780e-01,2.00e-01,
3.59784e-01,2.00e-01,
3.59788e-01,2.00e-01,
3.59792e-01,2.00e-01,
3.59796e-01,2.00e-01,
3.59800e-01,2.00e-01,
3.59804e-01,2.00e-01,
3.59808e-01,2.00e-01,
3.59812e-01,2.00e-01,
3.59816e-01,2.00e-01,
3.59820e-01,2.00e-01,
3.59824e-01,2.00e-01,
3.59828e-01,0.00e+00,
3.59832e-01,2.00e-01,
3.59836e-01,2.00e-01,
3.59840e-01,2.00e-01,
3.59844e-01,2.00e-01,
3.59848e-01,2.00e-01,
3.59852e-01,2.00e-01,
3.59856e-01,2.00e-01,
3.59860e-01,2.00e-01,
3.59864e-01,2.00e-01,
3.59868e-01,2.00e-01,
3.59872e-01,2.00e-01,
3.59876e-01,2.00e-01,
3.59880e-01,2.00e-01,
3.59884e-01,2.00e-01,
3.59888e-01,2.00e-01,
3.59892e-01,2.00e-01,
3.59896e-01,2.00e-01,
3.59900e-01,2.00e-01,
3.59904e-01,2.00e-01,
3.59908e-01,2.00e-01,
3.59912e-01,2.00e-01,
3.59916e-01,2.00e-01,
3.59920e-01,2.00e-01,
3.59924e-01,2.00e-01,
3.59928e-01,2.00e-01,
3.59932e-01,2.00e-01,
3.59936e-01,2.00e-01,
3.59940e-01,2.00e-01,
3.59944e-01,2.00e-01,
3.59948e-01,2.00e-01,
3.59952e-01,2.00e-01,
3.59956e-01,2.00e-01,
3.59960e-01,2.00e-01,
3.59964e-01,2.00e-01,
3.59968e-01,2.00e-01,
3.59972e-01,2.00e-01,
3.59976e-01,2.00e-01,
3.59980e-01,2.00e-01,
3.59984e-01,2.00e-01,
3.59988e-01,2.00e-01,
3.59992e-01,2.00e-01,
3.59996e-01,2.00e-01,
3.60000e-01,2.00e-01,
3.60004e-01,2.00e-01,
3.60008e-01,2.00e-01,
3.60012e-01,2.00e-01,
3.60016e-01,2.00e-01,
3.60020e-01,2.00e-01,
3.60024e-01,2.00e-01,
3.60028e-01,0.00e+00,
3.60032e-01,0.00e+00,
3.60036e-01,5.40e+00,
3.60040e-01,6.40e+00,
3.60044e-01,1.00e+01,
3.60048e-01,1.04e+01,
3.60052e-01,1.22e+01,
3.60056e-01,1.26e+01,
3.60060e-01,1.30e+01,
3.60064e-01,1.32e+01,
3.60068e-01,1.34e+01,
3.60072e-01,1.36e+01,
3.60076e-01,1.34e+01,
3.60080e-01,1.36e+01,
3.60084e-01,1.34e+01,
3.60088e-01,1.34e+01,
3.60092e-01,1.34e+01,
3.60096e-01,1.34e+01,
3.60100e-01,1.30e+01,
3.60104e-01,1.32e+01,
3.60108e-01,1.30e+01,
3.60112e-01,1.30e+01,
3.60116e-01,1.26e+01,
3.60120e-01,1.28e+01,
3.60124e-01,1.24e+01,
3.60128e-01,1.26e+01,
3.60132e-01,1.22e+01,
3.60136e-01,1.22e+01,
3.60140e-01,1.18e+01,
3.60144e-01,1.18e+01,
3.60148e-01,1.14e+01,
3.60152e-01,1.14e+01,
3.60156e-01,1.12e+01,
3.60160e-01,1.12e+01,
3.60164e-01,1.08e+01,
3.60168e-01,1.08e+01,
3.60172e-01,1.04e+01,
3.60176e-01,1.04e+01,
3.60180e-01,1.00e+01,
3.60184e-01,1.00e+01,
3.60188e-01,9.80e+00,
3.60192e-01,9.60e+00,
3.60196e-01,9.20e+00,
3.60200e-01,9.40e+00,
3.60204e-01,9.00e+00,
3.60208e-01,9.00e+00,
3.60212e-01,8.80e+00,
3.60216e-01,8.60e+00,
3.60220e-01,8.20e+00,
3.60224e-01,8.40e+00,
3.60228e-01,8.00e+00,
3.60232e-01,8.00e+00,
3.60236e-01,7.40e+00,
3.60240e-01,7.40e+00,
3.60244e-01,7.20e+00,
3.60248e-01,7.20e+00,
3.60252e-01,6.80e+00,
3.60256e-01,6.80e+00,
3.60260e-01,6.40e+00,
3.60264e-01,6.40e+00,
3.60268e-01,6.00e+00,
3.60272e-01,6.00e+00,
3.60276e-01,5.40e+00,
3.60280e-01,5.40e+00,
3.60284e-01,5.00e+00,
3.60288e-01,5.20e+00,
3.60292e-01,4.60e+00,
3.60296e-01,4.60e+00,
3.60300e-01,4.80e+00,
3.60304e-01,4.60e+00,
3.60308e-01,4.20e+00,
3.60312e-01,4.20e+00,
3.60316e-01,4.00e+00,
3.60320e-01,4.00e+00,
3.60324e-01,3.80e+00,
3.60328e-01,3.60e+00,
3.60332e-01,3.40e+00,
3.60336e-01,3.40e+00,
3.60340e-01,3.20e+00,
3.60344e-01,3.20e+00,
3.60348e-01,3.00e+00,
3.60352e-01,3.00e+00,
3.60356e-01,2.80e+00,
3.60360e-01,2.80e+00,
3.60364e-01,2.60e+00,
3.60368e-01,2.60e+00,
3.60372e-01,2.40e+00,
3.60376e-01,2.40e+00,
3.60380e-01,2.20e+00,
3.60384e-01,2.20e+00,
3.60388e-01,2.20e+00,
3.60392e-01,2.20e+00,
3.60396e-01,2.00e+00,
3.60400e-01,2.20e+00,
3.60404e-01,1.80e+00,
3.60408e-01,1.80e+00,
3.60412e-01,1.80e+00,
3.60416e-01,1.80e+00,
3.60420e-01,1.60e+00,
3.60424e-01,1.40e+00,
3.60428e-01,1.60e+00,
3.60432e-01,1.40e+00,
3.60436e-01,1.40e+00,
3.60440e-01,1.40e+00,
3.60444e-01,1.40e+00,
3.60448e-01,1.40e+00,
3.60452e-01,1.20e+00,
3.60456e-01,1.20e+00,
3.60460e-01,1.40e+00,
3.60464e-01,1.20e+00,
3.60468e-01,1.00e+00,
3.60472e-01,1.20e+00,
3.60476e-01,1.00e+00,
3.60480e-01,1.00e+00,
3.60484e-01,1.00e+00,
3.60488e-01,1.00e+00,
3.60492e-01,8.00e-01,
3.60496e-01,8.00e-01,
3.60500e-01,1.00e+00,
3.60504e-01,8.00e-01,
3.60508e-01,8.00e-01,
3.60512e-01,8.00e-01,
3.60516e-01,6.00e-01,
3.60520e-01,6.00e-01,
3.60524e-01,8.00e-01,
3.60528e-01,6.00e-01,
3.60532e-01,6.00e-01,
3.60536e-01,6.00e-01,
3.60540e-01,6.00e-01,
3.60544e-01,6.00e-01,
3.60548e-01,6.00e-01,
3.60552e-01,6.00e-01,
3.60556e-01,6.00e-01,
3.60560e-01,6.00e-01,
3.60564e-01,6.00e-01,
3.60568e-01,6.00e-01,
3.60572e-01,6.00e-01,
3.60576e-01,6.00e-01,
3.60580e-01,6.00e-01,
3.60584e-01,6.00e-01,
3.60588e-01,6.00e-01,
3.60592e-01,6.00e-01,
3.60596e-01,6.00e-01,
3.60600e-01,6.00e-01,
3.60604e-01,6.00e-01,
3.60608e-01,6.00e-01,
3.60612e-01,6.00e-01,
3.60616e-01,6.00e-01,
3.60620e-01,6.00e-01,
3.60624e-01,6.00e-01,
3.60628e-01,6.00e-01,
3.60632e-01,6.00e-01,
3.60636e-01,6.00e-01,
3.60640e-01,6.00e-01,
3.60644e-01,6.00e-01,
3.60648e-01,6.00e-01,
3.60652e-01,6.00e-01,
3.60656e-01,6.00e-01,
3.60660e-01,6.00e-01,
3.60664e-01,6.00e-01,
3.60668e-01,4.00e-01,
3.60672e-01,4.00e-01,
3.60676e-01,6.00e-01,
3.60680e-01,6.00e-01,
3.60684e-01,4.00e-01,
3.60688e-01,6.00e-01,
3.60692e-01,4.00e-01,
3.60696e-01,6.00e-01,
3.60700e-01,4.00e-01,
3.60704e-01,4.00e-01,
3.60708e-01,6.00e-01,
3.60712e-01,4.00e-01,
3.60716e-01,6.00e-01,
3.60720e-01,4.00e-01,
3.60724e-01,2.00e-01,
3.60728e-01,4.00e-01,
3.60732e-01,2.00e-01,
3.60736e-01,4.00e-01,
3.60740e-01,2.00e-01,
3.60744e-01,4.00e-01,
3.60748e-01,4.00e-01,
3.60752e-01,4.00e-01,
3.60756e-01,6.00e-01,
3.60760e-01,4.00e-01,
3.60764e-01,4.00e-01,
3.60768e-01,2.00e-01,
3.60772e-01,4.00e-01,
3.60776e-01,4.00e-01,
3.60780e-01,2.00e-01,
3.60784e-01,4.00e-01,
3.60788e-01,2.00e-01,
3.60792e-01,2.00e-01,
3.60796e-01,4.00e-01,
3.60800e-01,4.00e-01,
3.60804e-01,2.00e-01,
3.60808e-01,2.00e-01,
3.60812e-01,4.00e-01,
3.60816e-01,4.00e-01,
3.60820e-01,2.00e-01,
3.60824e-01,4.00e-01,
3.60828e-01,2.00e-01,
3.60832e-01,4.00e-01,
3.60836e-01,2.00e-01,
3.60840e-01,2.00e-01,
3.60844e-01,6.00e-01,
3.60848e-01,4.00e-01,
3.60852e-01,2.00e-01,
3.60856e-01,4.00e-01,
3.60860e-01,4.00e-01,
3.60864e-01,2.00e-01,
3.60868e-01,4.00e-01,
3.60872e-01,4.00e-01,
3.60876e-01,2.00e-01,
3.60880e-01,2.00e-01,
3.60884e-01,4.00e-01,
3.60888e-01,2.00e-01,
3.60892e-01,4.00e-01,
3.60896e-01,2.00e-01,
3.60900e-01,4.00e-01,
3.60904e-01,4.00e-01,
3.60908e-01,2.00e-01,
3.60912e-01,4.00e-01,
3.60916e-01,2.00e-01,
3.60920e-01,4.00e-01,
3.60924e-01,4.00e-01,
3.60928e-01,4.00e-01,
3.60932e-01,2.00e-01,
3.60936e-01,4.00e-01,
3.60940e-01,2.00e-01,
3.60944e-01,4.00e-01,
3.60948e-01,2.00e-01,
3.60952e-01,2.00e-01,
3.60956e-01,4.00e-01,
3.60960e-01,2.00e-01,
3.60964e-01,4.00e-01,
3.60968e-01,2.00e-01,
3.60972e-01,4.00e-01,
3.60976e-01,2.00e-01,
3.60980e-01,4.00e-01,
3.60984e-01,2.00e-01,
3.60988e-01,4.00e-01,
3.60992e-01,2.00e-01,
3.60996e-01,4.00e-01,
3.61000e-01,2.00e-01,
3.61004e-01,4.00e-01,
3.61008e-01,2.00e-01,
3.61012e-01,4.00e-01,
3.61016e-01,2.00e-01,
3.61020e-01,2.00e-01,
3.61024e-01,2.00e-01,
3.61028e-01,2.00e-01,
3.61032e-01,2.00e-01,
3.61036e-01,2.00e-01,
3.61040e-01,2.00e-01,
3.61044e-01,2.00e-01,
3.61048e-01,2.00e-01,
3.61052e-01,2.00e-01,
3.61056e-01,2.00e-01,
3.61060e-01,2.00e-01,
3.61064e-01,2.00e-01,
3.61068e-01,2.00e-01,
3.61072e-01,2.00e-01,
3.61076e-01,2.00e-01,
3.61080e-01,2.00e-01,
3.61084e-01,2.00e-01,
3.61088e-01,2.00e-01,
3.61092e-01,2.00e-01,
