X,CH1,CH2,
Second,Volt,Volt,
-2.00000e-04,1.80e-01,-8.00e-03,
-1.90000e-04,1.40e-01,0.00e+00,
-1.80000e-04,1.20e-01,0.00e+00,
-1.70000e-04,1.60e-01,-8.00e-03,
-1.60000e-04,1.40e-01,-8.00e-03,
-1.50000e-04,1.80e-01,-1.60e-02,
-1.40000e-04,2.00e-01,-8.00e-03,
-1.30000e-04,1.60e-01,-1.60e-02,
-1.20000e-04,1.60e-01,-1.60e-02,
-1.10000e-04,2.00e-01,-8.00e-03,
-1.00000e-04,1.80e-01,-8.00e-03,
-9.00002e-05,1.40e-01,-8.00e-03,
-8.00001e-05,1.60e-01,-8.00e-03,
-7.00002e-05,1.20e-01,-1.60e-02,
-6.00002e-05,1.60e-01,-1.60e-02,
-5.00001e-05,1.40e-01,-8.00e-03,
-4.00002e-05,1.40e-01,-1.60e-02,
-3.00002e-05,1.80e-01,-8.00e-03,
-2.00001e-05,1.60e-01,-8.00e-03,
-1.00000e-05,1.20e-01,-8.00e-03,
-1.75536e-10,1.40e-01,-8.00e-03,
9.99990e-06,4.00e-02,8.00e-03,
2.00000e-05,2.00e-02,0.00e+00,
2.99998e-05,2.24e+00,3.04e-01,
3.99999e-05,2.20e+00,2.64e-01,
4.99999e-05,1.38e+00,7.20e-02,
5.99998e-05,1.30e+00,6.40e-02,
6.99999e-05,7.00e-01,-8.00e-03,
7.99999e-05,6.00e-01,-8.00e-03,
8.99999e-05,2.40e-01,-1.60e-02,
9.99999e-05,2.00e-01,-8.00e-03,
1.10000e-04,2.40e-01,2.40e-02,
1.20000e-04,2.40e-01,1.60e-02,
1.30000e-04,4.40e-01,2.40e-02,
1.40000e-04,4.40e-01,2.40e-02,
1.50000e-04,5.40e-01,-1.60e-02,
1.60000e-04,5.40e-01,-2.40e-02,
1.70000e-04,6.60e-01,-7.99e-02,
1.80000e-04,7.00e-01,-8.79e-02,
1.90000e-04,6.60e-01,-9.60e-02,
2.00000e-04,6.60e-01,-9.60e-02,
2.10000e-04,4.80e-01,-6.40e-02,
